ProdGroupId,Language,SourceLang,ProdGroupName,AdminProdGroupName
999997826070855,KO,KO,Consumer Packaged Goods  ,Consumer Packaged Goods  
999997826070856,KO,KO,Consumer Packaged Goods - All Components    ,Consumer Packaged Goods - All Components    
999997826070857,KO,KO,PeopleSoft Enterprise Fusion Intelligence     ,PeopleSoft Enterprise Fusion Intelligence     
999997826070858,KO,KO,Oracle Utilities Customer Care and Billing Third Party Applications         ,Oracle Utilities Customer Care and Billing Third Party Applications         
999997826070860,KO,KO,Oracle Utilities Customer Care and Billing Business Intelligence        ,Oracle Utilities Customer Care and Billing Business Intelligence        
999997826070861,KO,KO,JD Edwards EnterpriseOne HCM Suite    ,JD Edwards EnterpriseOne HCM Suite    
999997826070862,KO,KO,Oracle Utilities Customer Care and Billing     ,Oracle Utilities Customer Care and Billing     
999997826070863,KO,KO,Oracle Utilities Customer Care and Billing - Other      ,Oracle Utilities Customer Care and Billing - Other      
999997826070864,KO,KO,Oracle Vertical Applications   ,Oracle Vertical Applications   
999997826070865,KO,KO,Aerospace- Defense and Transportation    ,Aerospace- Defense and Transportation    
999997826070866,KO,KO,Asset Tracking ,Asset Tracking 
999997826070867,KO,KO,CRL Financial Management  ,CRL Financial Management  
100000015029001,US,US,PG_sarajara_B6,PG_sarajara_B6
999997826070868,KO,KO,Communications\Utilities Other   ,Communications\Utilities Other   
999997826070869,KO,KO,Oracle Strategic Network Optimization    ,Oracle Strategic Network Optimization    
999997826070870,KO,KO,eBusiness Suite Special Edition   ,eBusiness Suite Special Edition   
999997826070871,KO,KO,Special Edition ,Special Edition 
999997826070872,KO,KO,Oracle Communications Service Activation    ,Oracle Communications Service Activation    
999997826070873,KO,KO,G-Log Advanced Analytics Dashboards    ,G-Log Advanced Analytics Dashboards    
999997826070874,KO,KO,G-Log Carrier and Procurement   ,G-Log Carrier and Procurement   
999997826070875,KO,KO,G-Log Multi-Business Unit\Affiliate Add-On Fee     ,G-Log Multi-Business Unit\Affiliate Add-On Fee     
999997826070876,KO,KO,E-Business Suite (Original)   ,E-Business Suite (Original)   
999997826070877,KO,KO,Other - E-Business Suite  ,Other - E-Business Suite  
999997826070878,KO,KO,Oracle Communications ASAP Cartridges - Broadband Access - DSL        ,Oracle Communications ASAP Cartridges - Broadband Access - DSL        
109876540066011,US,US,Americas Catalog,Americas Catalog
109876540066001,US,US,Electronics,Electronics
109876540066002,US,US,Computers,Computers
109876540066003,US,US,Printers,Printers
109876540066004,US,US,Desktops,Desktops
109876540066005,US,US,Laptops,Laptops
109876540066006,US,US,All-in-One,All-in-One
109876540066007,US,US,Laserjet,Laserjet
109876540066008,US,US,Cellphones,Cellphones
109876540066009,US,US,Audio & TVs,Audio & TVs
109876540066010,US,US,LCD TVs,LCD TVs
109876540066014,US,US,Books & Media,Books & Media
109876540066015,US,US,Toys & Games,Toys & Games
109876540066016,US,US,Home Decor,Home Decor
109876540066012,US,US,Summer Promotions,Summer Promotions
109876540066013,US,US,Office Products,Office Products
100000020172000,US,US,PRM Programs,PRM Programs
100000020172002,US,US,Reseller Programs,Reseller Programs
100000020172005,US,US,Distributor Programs,Distributor Programs
999997826070879,KO,KO,Oracle Communications ASAP Cartridges - IP Services      ,Oracle Communications ASAP Cartridges - IP Services      
999997826070880,KO,KO,Oracle Communications Service Activation Connectors & Modules        ,Oracle Communications Service Activation Connectors & Modules        
999997826070881,KO,KO,Transportation Cooperative Routing    ,Transportation Cooperative Routing    
999997826070882,KO,KO,Transportation Management  ,Transportation Management  
999997826070883,KO,KO,Oracle Communications Network Mediation Utilities      ,Oracle Communications Network Mediation Utilities      
999997826070884,KO,KO,Oracle Communications Service Delivery    ,Oracle Communications Service Delivery    
999997826070885,KO,KO,Oracle Communications Service Fulfillment Applications       ,Oracle Communications Service Fulfillment Applications       
999997826070886,KO,KO,MetaSolv - Legacy ,MetaSolv - Legacy 
999997826070887,KO,KO,Oracle Communications ASAP Cartridges - Mobile Applications       ,Oracle Communications ASAP Cartridges - Mobile Applications       
999997826070888,KO,KO,PeopleSoft Enterprise HCM Suite   ,PeopleSoft Enterprise HCM Suite   
999997826070889,KO,KO,Oracle Utilities Load Analysis   ,Oracle Utilities Load Analysis   
999997826070890,KO,KO,iLearning,iLearning
999997826070891,KO,KO,Logistics,Logistics
999997826070892,KO,KO,Freight Payment- Billing and Claims    ,Freight Payment- Billing and Claims    
999997826070893,KO,KO,Oracle Communications ASAP Cartridges - Mobile Messaging       ,Oracle Communications ASAP Cartridges - Mobile Messaging       
999997826070894,KO,KO,Oracle Communications ASAP Cartridges - VoIP Networks & Services        ,Oracle Communications ASAP Cartridges - VoIP Networks & Services        
999997826070895,KO,KO,Demantra Collaboration Workbench   ,Demantra Collaboration Workbench   
999997826070896,KO,KO,Oracle Communications ASAP Cartridges - Mobile Switching       ,Oracle Communications ASAP Cartridges - Mobile Switching       
999997826070897,KO,KO,MetaSolv Allocation ,MetaSolv Allocation 
999997826070898,KO,KO,MetaSolv Software Bundle  ,MetaSolv Software Bundle  
999997826070899,KO,KO,Oracle Communications Configuration Management     ,Oracle Communications Configuration Management     
999997826070900,KO,KO,Oracle Communications Configuration Management Cartridges       ,Oracle Communications Configuration Management Cartridges       
999997826070901,KO,KO,Oracle ERP Applications  ,Oracle ERP Applications  
999997826070902,KO,KO,Demantra,Demantra
999997826070903,KO,KO,Demantra - Legacy ,Demantra - Legacy 
999997826070904,KO,KO,Transportation Sourcing  ,Transportation Sourcing  
999997826070905,KO,KO,Maintenance Management  ,Maintenance Management  
999997826070906,KO,KO,Manufacturing,Manufacturing
999997826070907,KO,KO,Discrete Manufacturing  ,Discrete Manufacturing  
999997826070908,KO,KO,Oracle Communications Inventory Management     ,Oracle Communications Inventory Management     
999997826070909,KO,KO,Oracle Communications Network Discovery Cartridge Development Kit Cartridges          ,Oracle Communications Network Discovery Cartridge Development Kit Cartridges          
999997826070910,KO,KO,Oracle Communications Network Discovery Cartridges      ,Oracle Communications Network Discovery Cartridges      
999997826070911,KO,KO,Financials,Financials
999997826070912,KO,KO,Activity Based Management  ,Activity Based Management  
999997826070913,KO,KO,Advance Collections ,Advance Collections 
999997826070914,KO,KO,Financial Consolidation Hub   ,Financial Consolidation Hub   
999997826070915,KO,KO,Release Management ,Release Management 
999997826070916,KO,KO,iStore,iStore
100000011628071,US,US,Drives,Drives
100000011628074,US,US,Memory,Memory
100000011628077,US,US,Accessories,Accessories
100000011628080,US,US,Service Plans,Service Plans
999997826070917,KO,KO,Oracle Communications MetaSolv Solution    ,Oracle Communications MetaSolv Solution    
999997826070918,KO,KO,Oracle Communications MetaSolv Solution APIs     ,Oracle Communications MetaSolv Solution APIs     
999997826069849,KO,KO,Vision Catalog ,Vision Catalog 
999997826070625,KO,KO,Content Management\Enterprise 2.0   ,Content Management\Enterprise 2.0   
999997826070626,KO,KO,EPM and BI,EPM and BI
999997826070627,KO,KO,Oracle Learning Architecture   ,Oracle Learning Architecture   
999997826070628,KO,KO,Oracle Learning Architechture   ,Oracle Learning Architechture   
999997826070629,KO,KO,GPO,GPO
999997826070630,KO,KO,NonLC,NonLC
999997826070631,KO,KO,BEA,BEA
999997826070632,KO,KO,GPO,GPO
999997826070633,KO,KO,NonLC,NonLC
999997826070634,KO,KO,Database Technology ,Database Technology 
999997826070635,KO,KO,GPO,GPO
999997826070636,KO,KO,NonLC,NonLC
999997826070637,KO,KO,Hyperion,Hyperion
999997826070638,KO,KO,GPO,GPO
999997826070639,KO,KO,NonLC,NonLC
999997826070640,KO,KO,Learning Credits ,Learning Credits 
999997826070641,KO,KO,Applications,Applications
999997826070642,KO,KO,Database Technology ,Database Technology 
999997826070643,KO,KO,External Reclasses ,External Reclasses 
999997826070644,KO,KO,Governance Risk Compliance (GRC)   ,Governance Risk Compliance (GRC)   
999997826070645,KO,KO,Hyperion,Hyperion
999997826070646,KO,KO,JD Edwards Applications  ,JD Edwards Applications  
999997826070647,KO,KO,Oracle Applications ,Oracle Applications 
999997826070648,KO,KO,Oracle Communications Applications    ,Oracle Communications Applications    
999997826070649,KO,KO,Oracle Utilities Applications   ,Oracle Utilities Applications   
999997826070650,KO,KO,Peoplesoft Applications  ,Peoplesoft Applications  
999997826070651,KO,KO,Consulting,Consulting
999997826070652,KO,KO,Agile Applications ,Agile Applications 
999997826070653,KO,KO,BEA,BEA
999997826070654,KO,KO,BPM\SOA,BPM\SOA
999997826070655,KO,KO,Consulting Products ,Consulting Products 
999997826070656,KO,KO,Hyperion,Hyperion
999997826070657,KO,KO,PeopleSoft Applications  ,PeopleSoft Applications  
999997826070658,KO,KO,PeopleSoft,PeopleSoft
999997826070659,KO,KO,GPO,GPO
999997826070660,KO,KO,Siebel,Siebel
999997826070661,KO,KO,GPO,GPO
999997826070662,KO,KO,Security,Security
999997826070663,KO,KO,Solution Packages ,Solution Packages 
999997826070664,KO,KO,Siebel Applications ,Siebel Applications 
999997826070665,KO,KO,Education,Education
999997826070666,KO,KO,Education Products ,Education Products 
999997826070667,KO,KO,CBT Products,CBT Products
100000011628035,US,US,DS Series,DS Series
100000011628038,US,US,Pro Series,Pro Series
100000011628041,US,US,LS Series,LS Series
100000011628044,US,US,Vario Series,Vario Series
100000011628047,US,US,Sentinel Series,Sentinel Series
100000011628050,US,US,ElitePro Series,ElitePro Series
100000011628053,US,US,EliteVario Series,EliteVario Series
100000011628056,US,US,UltraPro Series,UltraPro Series
100000011628061,US,US,UltraVario Series,UltraVario Series
100000011628064,US,US,Monitors,Monitors
999997826070668,KO,KO,External Reclass ,External Reclass 
999997826070669,KO,KO,External Reclass - Education   ,External Reclass - Education   
999997826070670,KO,KO,Email Center,Email Center
999997826070671,KO,KO,Marketing and Sales ,Marketing and Sales 
999997826070672,KO,KO,Field Sales,Field Sales
999997826070673,KO,KO,Advanced Scheduler ,Advanced Scheduler 
999997826070674,KO,KO,Field Service,Field Service
999997826070675,KO,KO,Mobile Field Service ,Mobile Field Service 
100000011628005,KO,KO,Electronics,Electronics
100000011628007,KO,KO,Computer Systems ,Computer Systems 
100000011628012,KO,KO,Desktops,Desktops
100000011628015,KO,KO,Laptops,Laptops
100000011628018,KO,KO,Servers,Servers
100000011628021,KO,KO,Components ,Components 
100000011628024,KO,KO,Office Equipment ,Office Equipment 
100000011628027,KO,KO,Printers,Printers
100000011628030,KO,KO,Projectors,Projectors
100000015029001,KO,KO,PG_sarajara_B6,PG_sarajara_B6
109876540066011,KO,KO,Americas Catalog ,Americas Catalog 
109876540066001,KO,KO,Electronics,Electronics
109876540066002,KO,KO,Computers,Computers
109876540066003,KO,KO,Printers,Printers
109876540066004,KO,KO,Desktops,Desktops
109876540066005,KO,KO,Laptops,Laptops
109876540066006,KO,KO,All-in-One,All-in-One
109876540066007,KO,KO,Laserjet,Laserjet
109876540066008,KO,KO,Cellphones,Cellphones
109876540066009,KO,KO,Audio & TVs,Audio & TVs
109876540066010,KO,KO,LCD TVs,LCD TVs
999997826070841,US,US,Oracle Utilities Work and Asset Management Business Intelligence,Oracle Utilities Work and Asset Management Business Intelligence
999997826070842,US,US,Oracle Utilities Work and Asset Management Integration,Oracle Utilities Work and Asset Management Integration
999997826070843,US,US,OPN - World License,OPN - World License
999997826070844,US,US,Oracle Enterprise Tax Management,Oracle Enterprise Tax Management
999997826070845,US,US,Enterprise Taxation Management,Enterprise Taxation Management
999997826070846,US,US,Oracle Enterprise Taxation Management - Other,Oracle Enterprise Taxation Management - Other
999997826070847,US,US,Oracle Enterprise Taxation Management Third Party Applications,Oracle Enterprise Taxation Management Third Party Applications
999997826070848,US,US,Oracle Utilities Quotations Management,Oracle Utilities Quotations Management
999997826070849,US,US,Oracle Utilities Rate Management,Oracle Utilities Rate Management
999997826070850,US,US,JD Edwards EnterpriseOne Bundles,JD Edwards EnterpriseOne Bundles
999997826070851,US,US,External Reclasses - PeopleSoft Applications,External Reclasses - PeopleSoft Applications
999997826070852,US,US,OPN - Enterprise License,OPN - Enterprise License
999997826070853,US,US,Oracle Service Optimization,Oracle Service Optimization
999997826070854,US,US,Oracle Enterprise RealTime Scheduling - Other,Oracle Enterprise RealTime Scheduling - Other
999997826070855,US,US,Consumer Packaged Goods,Consumer Packaged Goods
999997826070856,US,US,Consumer Packaged Goods - All Components,Consumer Packaged Goods - All Components
999997826070857,US,US,PeopleSoft Enterprise Fusion Intelligence,PeopleSoft Enterprise Fusion Intelligence
999997826070858,US,US,Oracle Utilities Customer Care and Billing Third Party Applications,Oracle Utilities Customer Care and Billing Third Party Applications
999997826070860,US,US,Oracle Utilities Customer Care and Billing Business Intelligence,Oracle Utilities Customer Care and Billing Business Intelligence
999997826070861,US,US,JD Edwards EnterpriseOne HCM Suite,JD Edwards EnterpriseOne HCM Suite
999997826070862,US,US,Oracle Utilities Customer Care and Billing,Oracle Utilities Customer Care and Billing
999997826070863,US,US,Oracle Utilities Customer Care and Billing - Other,Oracle Utilities Customer Care and Billing - Other
999997826070864,US,US,Oracle Vertical Applications,Oracle Vertical Applications
999997826070865,US,US,Aerospace- Defense and Transportation,Aerospace- Defense and Transportation
999997826070866,US,US,Asset Tracking,Asset Tracking
999997826070867,US,US,CRL Financial Management,CRL Financial Management
999997826070868,US,US,Communications\Utilities Other,Communications\Utilities Other
999997826070869,US,US,Oracle Strategic Network Optimization,Oracle Strategic Network Optimization
999997826070870,US,US,eBusiness Suite Special Edition,eBusiness Suite Special Edition
999997826070871,US,US,Special Edition,Special Edition
999997826070872,US,US,Oracle Communications Service Activation,Oracle Communications Service Activation
999997826070873,US,US,G-Log Advanced Analytics Dashboards,G-Log Advanced Analytics Dashboards
999997826070874,US,US,G-Log Carrier and Procurement,G-Log Carrier and Procurement
999997826070875,US,US,G-Log Multi-Business Unit\Affiliate Add-On Fee,G-Log Multi-Business Unit\Affiliate Add-On Fee
999997826070876,US,US,E-Business Suite (Original),E-Business Suite (Original)
999997826070877,US,US,Other - E-Business Suite,Other - E-Business Suite
999997826070878,US,US,Oracle Communications ASAP Cartridges - Broadband Access - DSL,Oracle Communications ASAP Cartridges - Broadband Access - DSL
999997826070879,US,US,Oracle Communications ASAP Cartridges - IP Services,Oracle Communications ASAP Cartridges - IP Services
999997826070880,US,US,Oracle Communications Service Activation Connectors & Modules,Oracle Communications Service Activation Connectors & Modules
999997826070881,US,US,Transportation Cooperative Routing,Transportation Cooperative Routing
999997826070882,US,US,Transportation Management,Transportation Management
999997826070883,US,US,Oracle Communications Network Mediation Utilities,Oracle Communications Network Mediation Utilities
999997826070884,US,US,Oracle Communications Service Delivery,Oracle Communications Service Delivery
999997826070885,US,US,Oracle Communications Service Fulfillment Applications,Oracle Communications Service Fulfillment Applications
999997826070886,US,US,MetaSolv - Legacy,MetaSolv - Legacy
999997826070887,US,US,Oracle Communications ASAP Cartridges - Mobile Applications,Oracle Communications ASAP Cartridges - Mobile Applications
999997826070888,US,US,PeopleSoft Enterprise HCM Suite,PeopleSoft Enterprise HCM Suite
999997826070889,US,US,Oracle Utilities Load Analysis,Oracle Utilities Load Analysis
999997826070890,US,US,iLearning,iLearning
999997826070891,US,US,Logistics,Logistics
999997826070892,US,US,Freight Payment- Billing and Claims,Freight Payment- Billing and Claims
999997826070893,US,US,Oracle Communications ASAP Cartridges - Mobile Messaging,Oracle Communications ASAP Cartridges - Mobile Messaging
999997826070894,US,US,Oracle Communications ASAP Cartridges - VoIP Networks & Services,Oracle Communications ASAP Cartridges - VoIP Networks & Services
999997826070895,US,US,Demantra Collaboration Workbench,Demantra Collaboration Workbench
999997826070896,US,US,Oracle Communications ASAP Cartridges - Mobile Switching,Oracle Communications ASAP Cartridges - Mobile Switching
999997826070897,US,US,MetaSolv Allocation,MetaSolv Allocation
999997826070898,US,US,MetaSolv Software Bundle,MetaSolv Software Bundle
999997826070899,US,US,Oracle Communications Configuration Management,Oracle Communications Configuration Management
999997826070900,US,US,Oracle Communications Configuration Management Cartridges,Oracle Communications Configuration Management Cartridges
999997826070901,US,US,Oracle ERP Applications,Oracle ERP Applications
999997826070902,US,US,Demantra,Demantra
999997826070903,US,US,Demantra - Legacy,Demantra - Legacy
999997826070904,US,US,Transportation Sourcing,Transportation Sourcing
999997826070905,US,US,Maintenance Management,Maintenance Management
999997826070906,US,US,Manufacturing,Manufacturing
999997826070907,US,US,Discrete Manufacturing,Discrete Manufacturing
999997826070908,US,US,Oracle Communications Inventory Management,Oracle Communications Inventory Management
999997826070909,US,US,Oracle Communications Network Discovery Cartridge Development Kit Cartridges,Oracle Communications Network Discovery Cartridge Development Kit Cartridges
999997826070910,US,US,Oracle Communications Network Discovery Cartridges,Oracle Communications Network Discovery Cartridges
999997826070911,US,US,Financials,Financials
999997826070912,US,US,Activity Based Management,Activity Based Management
999997826070913,US,US,Advance Collections,Advance Collections
999997826070914,US,US,Financial Consolidation Hub,Financial Consolidation Hub
999997826070915,US,US,Release Management,Release Management
999997826070916,US,US,iStore,iStore
999997826070917,US,US,Oracle Communications MetaSolv Solution,Oracle Communications MetaSolv Solution
999997826070918,US,US,Oracle Communications MetaSolv Solution APIs,Oracle Communications MetaSolv Solution APIs
999997826069849,US,US,Vision Catalog,Vision Catalog
999997826070625,US,US,Content Management\Enterprise 2.0,Content Management\Enterprise 2.0
999997826070626,US,US,EPM and BI,EPM and BI
999997826070627,US,US,Oracle Learning Architecture,Oracle Learning Architecture
999997826070628,US,US,Oracle Learning Architechture,Oracle Learning Architechture
999997826070629,US,US,GPO,GPO
999997826070630,US,US,NonLC,NonLC
999997826070631,US,US,BEA,BEA
999997826070632,US,US,GPO,GPO
999997826070633,US,US,NonLC,NonLC
999997826070634,US,US,Database Technology,Database Technology
999997826070635,US,US,GPO,GPO
999997826070636,US,US,NonLC,NonLC
999997826070637,US,US,Hyperion,Hyperion
999997826070638,US,US,GPO,GPO
999997826070639,US,US,NonLC,NonLC
999997826070640,US,US,Learning Credits,Learning Credits
999997826070641,US,US,Applications,Applications
999997826070642,US,US,Database Technology,Database Technology
999997826070643,US,US,External Reclasses,External Reclasses
999997826070644,US,US,Governance Risk Compliance (GRC),Governance Risk Compliance (GRC)
999997826070645,US,US,Hyperion,Hyperion
999997826070646,US,US,JD Edwards Applications,JD Edwards Applications
999997826070647,US,US,Oracle Applications,Oracle Applications
999997826070648,US,US,Oracle Communications Applications,Oracle Communications Applications
999997826070649,US,US,Oracle Utilities Applications,Oracle Utilities Applications
999997826070650,US,US,Peoplesoft Applications,Peoplesoft Applications
999997826070651,US,US,Consulting,Consulting
999997826070652,US,US,Agile Applications,Agile Applications
999997826070653,US,US,BEA,BEA
999997826070654,US,US,BPM\SOA,BPM\SOA
999997826070655,US,US,Consulting Products,Consulting Products
999997826070656,US,US,Hyperion,Hyperion
999997826070657,US,US,PeopleSoft Applications,PeopleSoft Applications
999997826070658,US,US,PeopleSoft,PeopleSoft
999997826070659,US,US,GPO,GPO
999997826070660,US,US,Siebel,Siebel
999997826070661,US,US,GPO,GPO
999997826070662,US,US,Security,Security
999997826070663,US,US,Solution Packages,Solution Packages
999997826070664,US,US,Siebel Applications,Siebel Applications
999997826070665,US,US,Education,Education
999997826070666,US,US,Education Products,Education Products
999997826070667,US,US,CBT Products,CBT Products
999997826070668,US,US,External Reclass,External Reclass
999997826070669,US,US,External Reclass - Education,External Reclass - Education
999997826070670,US,US,Email Center,Email Center
999997826070671,US,US,Marketing and Sales,Marketing and Sales
999997826070672,US,US,Field Sales,Field Sales
999997826070673,US,US,Advanced Scheduler,Advanced Scheduler
999997826070674,US,US,Field Service,Field Service
999997826070675,US,US,Mobile Field Service,Mobile Field Service
999997826070676,US,US,Service Contracts,Service Contracts
999997826070677,US,US,iSupport,iSupport
999997826070678,US,US,PeopleSoft CRM Applications,PeopleSoft CRM Applications
999997826070679,US,US,JD Edwards EnterpriseOne CRM,JD Edwards EnterpriseOne CRM
999997826070680,US,US,JD Edwards World CRM,JD Edwards World CRM
999997826070681,US,US,JD Edwards World Contracts,JD Edwards World Contracts
999997826070682,US,US,PeopleSoft Enterprise CRM,PeopleSoft Enterprise CRM
999997826070683,US,US,PeopleSoft Enterprise Bundles,PeopleSoft Enterprise Bundles
999997826070684,US,US,Marketing,Marketing
999997826070685,US,US,Oracle Deal Management,Oracle Deal Management
999997826070686,US,US,Telesales,Telesales
999997826070687,US,US,Order Management CRM,Order Management CRM
999997826070688,US,US,NonLC,NonLC
999997826070689,US,US,User Adoption Services,User Adoption Services
999997826070690,US,US,GPO,GPO
999997826070691,US,US,NonLC,NonLC
999997826070692,US,US,License,License
999997826070693,US,US,Applications,Applications
999997826070694,US,US,CRM Intelligence,CRM Intelligence
999997826070695,US,US,Sales Analyzers,Sales Analyzers
999997826070696,US,US,Communications\Utilities CRM,Communications\Utilities CRM
999997826070697,US,US,Communications\Utilities CRM Other,Communications\Utilities CRM Other
999997826070698,US,US,Procurement Contracts,Procurement Contracts
999997826070699,US,US,Advanced Inbound Telephony,Advanced Inbound Telephony
999997826070700,US,US,Siebel .COM Server,Siebel .COM Server
999997826070701,US,US,Siebel E-Commerce,Siebel E-Commerce
999997826070702,US,US,Siebel eCustomer,Siebel eCustomer
999997826070703,US,US,Siebel eDocs,Siebel eDocs
999997826070704,US,US,Siebel Pool of Funds,Siebel Pool of Funds
999997826070705,US,US,Vertical ERP Applications,Vertical ERP Applications
999997826070706,US,US,Master Data Management - Administrative & Development CRM,Master Data Management - Administrative & Development CRM
999997826070707,US,US,Customer Data Management,Customer Data Management
999997826070708,US,US,Customer Hub Add-on B2B,Customer Hub Add-on B2B
999997826070709,US,US,Customer Hub B2B,Customer Hub B2B
999997826070710,US,US,Master Data Management - Customer Hub for B2C,Master Data Management - Customer Hub for B2C
999997826070711,US,US,Customer Hub Add-on B2C,Customer Hub Add-on B2C
999997826070712,US,US,PeopleSoft Enterprise Contracts,PeopleSoft Enterprise Contracts
999997826070713,US,US,Siebel CRM Applications,Siebel CRM Applications
999997826070714,US,US,Oracle Contact Center Anywhere,Oracle Contact Center Anywhere
999997826070715,US,US,Telephony@Work - Legacy,Telephony@Work - Legacy
999997826070716,US,US,Siebel Quotes,Siebel Quotes
999997826070717,US,US,Siebel eAdvisor,Siebel eAdvisor
999997826070718,US,US,Siebel eCatalog,Siebel eCatalog
999997826070719,US,US,Siebel eConfigurator,Siebel eConfigurator
999997826070720,US,US,Siebel ePricer,Siebel ePricer
999997826070721,US,US,Siebel Marketing,Siebel Marketing
999997826070722,US,US,Siebel eSales,Siebel eSales
999997826070723,US,US,Siebel eService,Siebel eService
999997826070724,US,US,OPN - Siebel License,OPN - Siebel License
999997826070725,US,US,Siebel Professional Edition - Customer Order Management,Siebel Professional Edition - Customer Order Management
999997826070726,US,US,Siebel MidMarket Edition,Siebel MidMarket Edition
999997826070727,US,US,Siebel Professional Edition - Sales,Siebel Professional Edition - Sales
999997826070728,US,US,Siebel Professional Edition - Orders,Siebel Professional Edition - Orders
999997826070729,US,US,Siebel Professional Edition - ePricer,Siebel Professional Edition - ePricer
999997826070730,US,US,Siebel Professional Edition - Marketing,Siebel Professional Edition - Marketing
999997826070731,US,US,Siebel eEvents,Siebel eEvents
999997826070732,US,US,Siebel Nexus,Siebel Nexus
999997826070733,US,US,Siebel Component Assembly,Siebel Component Assembly
999997826070734,US,US,Siebel Professional Edition - Services,Siebel Professional Edition - Services
999997826070735,US,US,Siebel Sales Base,Siebel Sales Base
999997826070736,US,US,Siebel Sales,Siebel Sales
999997826070737,US,US,Siebel Incentive Compensation,Siebel Incentive Compensation
999997826070738,US,US,Siebel Partner Relationship Management,Siebel Partner Relationship Management
999997826070739,US,US,Siebel Janna,Siebel Janna
999997826070740,US,US,Siebel Partner Manager,Siebel Partner Manager
999997826070741,US,US,Siebel Sales CRM,Siebel Sales CRM
999997826070742,US,US,Siebel Sales Package,Siebel Sales Package
999997826070743,US,US,DG350A Green Servers,DG350A Green Servers
999997826070744,US,US,DG350B Green Servers,DG350B Green Servers
999997826070745,US,US,DG350C Green Servers,DG350C Green Servers
999997826070746,US,US,Oracle Communications Billing and Revenue Management Server,Oracle Communications Billing and Revenue Management Server
999997826070747,US,US,Siebel Service,Siebel Service
999997826070748,US,US,Siebel Call Center,Siebel Call Center
999997826070749,US,US,Oracle Communications Network Mediation Cartridges Kits,Oracle Communications Network Mediation Cartridges Kits
999997826070750,US,US,DG350D Green Servers,DG350D Green Servers
999997826070751,US,US,DG350E Green Servers,DG350E Green Servers
999997826070752,US,US,DG350F Green Servers,DG350F Green Servers
999997826070676,KO,KO,Service Contracts ,Service Contracts 
999997826070677,KO,KO,iSupport,iSupport
999997826070678,KO,KO,PeopleSoft CRM Applications   ,PeopleSoft CRM Applications   
999997826070753,US,US,DG350M Green Servers,DG350M Green Servers
999997826070754,US,US,DG350H Green Servers,DG350H Green Servers
999997826070755,US,US,DG350G Green Servers,DG350G Green Servers
999997826070756,US,US,DG 150 Green Servers,DG 150 Green Servers
